# target|version|size|url|name
Heltec_v2_repeater_bridge_tcp|bridge-tcp-v1.0.7|1319440|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/Heltec_v2_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|Heltec_v2_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
Heltec_v2_room_server|room-server-v1.0.2|1303088|https://github.com/MichTronics/MeshCoreNG/releases/download/room-server-v1.0.2/Heltec_v2_room_server-nl-v1.0.2-bff9ec9.bin|Heltec_v2_room_server-nl-v1.0.2-bff9ec9.bin
Heltec_v3_companion_radio_ble|companion-v1.0.2|1266992|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_v3_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|Heltec_v3_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
Heltec_v3_companion_radio_usb|companion-v1.0.2|633808|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_v3_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|Heltec_v3_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
Heltec_v3_repeater|repeater-v1.0.2|1332592|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/Heltec_v3_repeater-nl-v1.0.2-bff9ec9.bin|Heltec_v3_repeater-nl-v1.0.2-bff9ec9.bin
Heltec_v3_repeater_bridge_espnow|bridge-espnow-v1.0.1|1343088|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/Heltec_v3_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|Heltec_v3_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
Heltec_v3_repeater_bridge_rs232|bridge-rs232-v1.0.2|1334928|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-rs232-v1.0.2/Heltec_v3_repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin|Heltec_v3_repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin
Heltec_v3_repeater_bridge_tcp|bridge-tcp-v1.0.7|1337712|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/Heltec_v3_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|Heltec_v3_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
Heltec_v3_room_server|room-server-v1.0.2|1320944|https://github.com/MichTronics/MeshCoreNG/releases/download/room-server-v1.0.2/Heltec_v3_room_server-nl-v1.0.2-bff9ec9.bin|Heltec_v3_room_server-nl-v1.0.2-bff9ec9.bin
heltec_v4_companion_radio_ble|companion-v1.0.2|1294784|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/heltec_v4_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|heltec_v4_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
heltec_v4_companion_radio_usb|companion-v1.0.2|661584|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/heltec_v4_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|heltec_v4_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
heltec_v4_repeater|repeater-v1.0.2|1356768|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/heltec_v4_repeater-nl-v1.0.2-bff9ec9.bin|heltec_v4_repeater-nl-v1.0.2-bff9ec9.bin
heltec_v4_repeater_bridge_espnow|bridge-espnow-v1.0.1|1367216|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/heltec_v4_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|heltec_v4_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
heltec_v4_repeater_bridge_rs232|bridge-rs232-v1.0.2|1359136|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-rs232-v1.0.2/heltec_v4_repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin|heltec_v4_repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin
heltec_v4_repeater_bridge_tcp|bridge-tcp-v1.0.7|1361968|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/heltec_v4_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|heltec_v4_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
heltec_v4_room_server|room-server-v1.0.2|1344880|https://github.com/MichTronics/MeshCoreNG/releases/download/room-server-v1.0.2/heltec_v4_room_server-nl-v1.0.2-bff9ec9.bin|heltec_v4_room_server-nl-v1.0.2-bff9ec9.bin
heltec_v4_tft_companion_radio_ble|companion-v1.0.2|1296400|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/heltec_v4_tft_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|heltec_v4_tft_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
heltec_v4_tft_companion_radio_usb|companion-v1.0.2|663360|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/heltec_v4_tft_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|heltec_v4_tft_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
heltec_v4_tft_repeater|repeater-v1.0.2|1358560|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/heltec_v4_tft_repeater-nl-v1.0.2-bff9ec9.bin|heltec_v4_tft_repeater-nl-v1.0.2-bff9ec9.bin
heltec_v4_tft_repeater_bridge_espnow|bridge-espnow-v1.0.1|1369040|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/heltec_v4_tft_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|heltec_v4_tft_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
heltec_v4_tft_repeater_bridge_rs232|bridge-rs232-v1.0.2|1360944|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-rs232-v1.0.2/heltec_v4_tft_repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin|heltec_v4_tft_repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin
heltec_v4_tft_repeater_bridge_tcp|bridge-tcp-v1.0.7|1363648|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/heltec_v4_tft_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|heltec_v4_tft_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
heltec_v4_tft_room_server|room-server-v1.0.2|1346544|https://github.com/MichTronics/MeshCoreNG/releases/download/room-server-v1.0.2/heltec_v4_tft_room_server-nl-v1.0.2-bff9ec9.bin|heltec_v4_tft_room_server-nl-v1.0.2-bff9ec9.bin
Heltec_Wireless_Paper_companion_radio_ble|companion-v1.0.2|1215024|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_Wireless_Paper_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|Heltec_Wireless_Paper_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
Heltec_Wireless_Paper_companion_radio_usb|companion-v1.0.2|605936|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_Wireless_Paper_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|Heltec_Wireless_Paper_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
Heltec_Wireless_Paper_repeater|repeater-v1.0.2|1282160|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/Heltec_Wireless_Paper_repeater-nl-v1.0.2-bff9ec9.bin|Heltec_Wireless_Paper_repeater-nl-v1.0.2-bff9ec9.bin
Heltec_Wireless_Paper_repeater_bridge_espnow|bridge-espnow-v1.0.1|1292256|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/Heltec_Wireless_Paper_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|Heltec_Wireless_Paper_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
Heltec_Wireless_Paper_repeater_bridge_tcp|bridge-tcp-v1.0.7|1287024|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/Heltec_Wireless_Paper_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|Heltec_Wireless_Paper_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
Heltec_Wireless_Paper_room_server|room-server-v1.0.2|1270288|https://github.com/MichTronics/MeshCoreNG/releases/download/room-server-v1.0.2/Heltec_Wireless_Paper_room_server-nl-v1.0.2-bff9ec9.bin|Heltec_Wireless_Paper_room_server-nl-v1.0.2-bff9ec9.bin
